iter	Passed	Remaining
641	111362	4225167
642	111550	4225544
643	111733	4225759
644	111912	4225799
645	112094	4225939
646	112284	4226385
647	112465	4226498
648	112635	4226163
649	112809	4226004
650	112989	4226097
651	113188	4226856
652	113358	4226569
653	113501	4225259
654	113704	4226175
655	113885	4226253
656	114067	4226417
657	114252	4226658
658	114444	4227154
659	114623	4227188
660	114796	4226959
661	114969	4226789
662	115168	4227526
663	115323	4226691
664	115494	4226409
665	115682	4226770
666	115862	4226824
667	116052	4227245
668	116214	4226614
669	116394	4226690
670	116589	4227271
671	116766	4227227
672	116972	4228222
673	117152	4228254
674	117328	4228181
675	117499	4227911
676	117678	4227896
677	117863	4228127
678	118032	4227804
679	118220	4228108
680	118391	4227834
681	118576	4228080
682	118751	4227922
683	118910	4227232
684	119084	4227077
685	119261	4227019
686	119438	4226950
687	119617	4226964
688	119779	4226368
689	119966	4226632
690	120141	4226511
691	120314	4226297
692	120481	4225886
693	120661	4225934
694	120835	4225752
695	120996	4225132
696	121197	4225922
697	121362	4225447
698	121534	4225181
699	121700	4224732
700	121886	4224977
701	122052	4224530
702	122217	4224074
703	122396	4224056
704	122572	4223977
705	122768	4224557
706	122951	4224712
707	123139	4225019
708	123332	4225493
709	123507	4225352
710	123691	4225533
711	123865	4225356
712	124043	4225293
713	124274	4227083
714	124423	4226043
715	124613	4226408
716	124789	4226324
717	124990	4227053
718	125182	4227463
719	125358	4227370
720	125520	4226788
721	125693	4226557
722	125879	4226804
723	126035	4226035
724	126220	4226214
725	126400	4226241
726	126580	4226267
727	126767	4226498
728	126940	4226285
729	127132	4226707
730	127308	4226619
731	127486	4226562
732	127656	4226253
733	127814	4225530
734	128003	4225864
735	128211	4226788
736	128385	4226624
737	128562	4226545
738	128758	4227092
739	128945	4227337
740	129126	4227357
741	129325	4228005
742	129497	4227739
743	129667	4227453
744	129860	4227866
745	130045	4228054
746	130218	4227828
747	130397	4227806
748	130582	4227967
749	130765	4228084
750	130952	4228308
751	131134	4228393
752	131324	4228708
753	131487	4228188
754	131672	4228351
755	131869	4228894
756	132056	4229112
757	132244	4229367
758	132428	4229519
759	132608	4229516
760	132784	4229386
761	132969	4229553
762	133142	4229332
763	133313	4229030
764	133475	4228468
765	133649	4228288
