,Start,End,Duration
264,1524155.208,1539593.221,15438.012999999803
265,1535620.118,1536807.936,1187.8179999999702
266,1538474.686,1539313.671,838.9850000001024
267,1529406.489,1536807.941,7401.452000000048
268,1524223.354,1537499.037,13275.68299999996
269,1524229.353,1543460.635,19231.282000000123
270,1524235.235,1537782.223,13546.987999999896
271,1524474.53,1536918.233,12443.70299999998
272,1524479.901,1544006.535,19526.633999999845
273,1524480.79,1538017.446,13536.655999999959
274,1526915.536,1538121.677,11206.140999999829
275,1524497.082,1536918.096,12421.013999999966
276,1524498.594,1540436.655,15938.060999999987
277,1524560.544,1537585.492,13024.948000000091
278,1524735.431,1539173.236,14437.804999999935
279,1524738.19,1536635.077,11896.887000000104
280,1524739.005,1536894.309,12155.304000000004
281,1524742.693,1540809.575,16066.881999999983
282,1551433.367,1551433.388,0.02099999994970858
283,1540221.016,1540609.429,388.41299999994226
284,1524771.455,1541408.966,16637.51099999994
285,1524822.956,1539400.072,14577.115999999922
286,1524825.001,1536721.45,11896.449000000022
287,1525091.374,1539400.076,14308.701999999816
288,1525092.524,1539745.424,14652.90000000014
289,1525109.22,1542855.734,17746.513999999966
290,1525253.972,1547607.804,22353.831999999937
291,1525259.413,1538017.453,12758.040000000037
292,1525261.684,1536665.075,11403.391000000061
293,1525278.612,1540457.331,15178.719000000041
294,1525334.586,1546311.787,20977.201000000117
295,1525343.163,1542271.225,16928.06200000015
296,1525871.576,1539227.206,13355.630000000121
297,1525347.134,1526442.91,1095.775999999838
298,1525348.77,1539935.546,14586.77600000007
299,1525349.994,1542878.413,17528.418999999994
300,1525353.118,1539745.428,14392.310000000056
301,1525353.375,1545129.974,19776.59899999993
302,1525427.099,1539313.675,13886.576000000117
303,1540207.508,1540436.664,229.15600000019185
304,1525429.144,1548247.19,22818.045999999857
305,1525684.851,1538103.899,12419.047999999952
306,1525693.802,1539313.678,13619.876000000164
307,1525693.778,1526527.356,833.5779999999795
308,1525704.795,1540263.8,14559.005000000121
309,1531305.859,1537176.515,5870.655999999959
310,1525772.422,1538449.412,12676.98999999999
311,1525772.838,1537326.239,11553.40100000007
312,1525773.992,1536980.71,11206.717999999877
313,1525775.654,1550596.833,24821.179000000004
314,1525779.477,1542942.051,17162.574000000022
315,1539944.434,1539944.456,0.022000000113621354
316,1525784.893,1537259.765,11474.871999999974
317,1525791.033,1542683.402,16892.368999999948
318,1525857.13,1542188.89,16331.76000000001
319,1525871.708,1540350.222,14478.513999999966
320,1525877.086,1539831.837,13954.751000000164
321,1525879.361,1545275.013,19395.652000000002
322,1525881.788,1548730.994,22849.206000000006
323,1525948.704,1541041.438,15092.734000000171
324,1525951.001,1549887.455,23936.454000000143
325,1525952.306,1538449.417,12497.1109999998
326,1525953.249,1546052.734,20099.48499999987
327,1525970.592,1539313.682,13343.090000000084
328,1526030.814,1544843.866,18813.05199999991
329,1526034.188,1547635.492,21601.304000000004
330,1526040.34,1538147.377,12107.037000000011
331,1526041.54,1540492.644,14451.10400000005
332,1526293.103,1539659.004,13365.90100000007
333,1526292.832,1537869.41,11576.57799999998
334,1526293.935,1538017.459,11723.523999999976
335,1526294.623,1536894.313,10599.690000000177
336,1526302.892,1538449.422,12146.530000000028
337,1536852.472,1537239.834,387.3619999999646
338,1548676.019,1548676.035,0.015999999828636646
339,1526376.106,1540263.804,13887.698000000091
340,1526383.597,1539140.795,12757.197999999858
341,1526389.532,1536980.715,10591.183000000194
342,1526401.112,1537585.497,11184.38500000001
343,1526467.971,1544013.002,17545.031000000192
344,1526488.266,1548730.999,22242.733000000007
345,1526550.326,1537585.501,11035.175000000047
346,1538567.741,1539313.686,745.9450000000652
347,1536319.632,1536807.946,488.31400000001304
348,1526560.109,1536807.95,10247.841000000015
349,1532685.673,1543317.528,10631.854999999981
350,1526567.656,1537239.838,10672.18200000003
351,1526569.857,1539313.69,12743.832999999868
352,1526651.482,1546052.74,19401.257999999914
353,1526663.175,1540263.811,13600.63599999994
354,1526895.088,1536807.955,9912.867000000086
355,1538403.857,1539313.694,909.8369999998249
356,1526904.555,1539659.008,12754.45299999998
357,1526916.553,1538103.905,11187.351999999955
358,1526979.668,1542164.602,15184.933999999892
359,1542705.289,1542705.369,0.07999999984167516
360,1526989.767,1539680.173,12690.405999999959
361,1527001.213,1542078.189,15076.976000000024
362,1527007.73,1536894.318,9886.587999999989
363,1527009.429,1536807.961,9798.53199999989
364,1527077.03,1542187.902,15110.871999999974
365,1527086.149,1536920.033,9833.884000000078
366,1527089.701,1536635.082,9545.381000000052
367,1540378.501,1540609.433,230.9320000000298
368,1527156.524,1536591.752,9435.22800000012
369,1527155.374,1546259.657,19104.28299999982
370,1528205.693,1536807.971,8602.277999999933
371,1527166.058,1540955.008,13788.949999999953
372,1527238.075,1542164.611,14926.53600000008
373,1527263.678,1543460.64,16196.961999999825
374,1527269.102,1544583.795,17314.69299999997
375,1527507.433,1536916.758,9409.324999999953
376,1538481.217,1539313.702,832.4850000001024
377,1527526.445,1542619.59,15093.145000000019
378,1527530.601,1538190.619,10660.017999999924
379,1527531.316,1537412.643,9881.326999999816
380,1527581.771,1537431.076,9849.304999999935
381,1527586.567,1540263.815,12677.247999999905
382,1527603.502,1543916.602,16313.09999999986
383,1527593.713,1542251.309,14657.595999999903
384,1527605.458,1544522.081,16916.622999999905
